Introduction	序章
"Some years back, I tried to force the Ogress Baba Yaga to leave our valley and she put a curse upon me that I should lose everything I held dear."	"Some years back, I tried to force the Ogress Baba Yaga to leave our valley and she put a curse upon me that I should lose everything I held dear."
"When I lost my daughter and my son, I lost all interest in living.  My lands suffered because I suffered." 	"When I lost my daughter and my son, I lost all interest in living.  My lands suffered because I suffered." 
"Now, though, with the return of my son, I trust the prophecy is about to come true, thanks to you."	"Now, though, with the return of my son, I trust the prophecy is about to come true, thanks to you."
"My beautiful little daughter was stolen away ten years ago by Baba Yaga's magic.  She has never been found, despite all the searching that has been done for her." 	"My beautiful little daughter was stolen away ten years ago by Baba Yaga's magic.  She has never been found, despite all the searching that has been done for her." 
"I thought she was lost forever, but you have renewed my hope that I will again have her beside me."	"I thought she was lost forever, but you have renewed my hope that I will again have her beside me."
"There have always been brigands around, but until the leader and the warlock showed up a few years ago, they were not much of a problem."	"There have always been brigands around, but until the leader and the warlock showed up a few years ago, they were not much of a problem."
"The leader seems to be a brilliant strategist who manages each raid with little loss.  Once the leader is gone, I am sure the brigands can be easily defeated."  	"The leader seems to be a brilliant strategist who manages each raid with little loss.  Once the leader is gone, I am sure the brigands can be easily defeated."  
"I know very little about magic, much to my sorrow.  Perhaps you should talk to the wizards Zara in town or Erasmus on Zauberberg." 	"I know very little about magic, much to my sorrow.  Perhaps you should talk to the wizards Zara in town or Erasmus on Zauberberg." 
"The prophecy states: 'Comes a Hero from the East, Free the man from in the beast; Bring the child from out the band; Drive the curser from the land.'"	"The prophecy states: 'Comes a Hero from the East, Free the man from in the beast; Bring the child from out the band; Drive the curser from the land.'"
"You entered here from the east, and you released my son from the form of a bear. I am certain you can fulfill the rest of it, and remove this dreadful curse." 	"You entered here from the east, and you released my son from the form of a bear. I am certain you can fulfill the rest of it, and remove this dreadful curse." 
"I have offered substantial rewards for the return of my son and my daughter, as well as for the leader and warlock of the brigands."	"I have offered substantial rewards for the return of my son and my daughter, as well as for the leader and warlock of the brigands."
"As if this valley hasn't been plagued with enough evil magic users!  From what I have heard, his magic isn't powerful, but it is used effectively." 	"As if this valley hasn't been plagued with enough evil magic users!  From what I have heard, his magic isn't powerful, but it is used effectively." 
"Yorick was my court jester, a man of infinite jest.  He went off to find my daughter.  But alas, poor Yorick never returned." 	"Yorick was my court jester, a man of infinite jest.  He went off to find my daughter.  But alas, poor Yorick never returned." 
"It would be nice if someone could finally defeat the brigands and claim the title."	"It would be nice if someone could finally defeat the brigands and claim the title."
"We, er, that is, I, am appreciative of your efforts upon my behalf."	"We, er, that is, I, am appreciative of your efforts upon my behalf."
"I'm pleased you managed to kill the Kobold."	"I'm pleased you managed to kill the Kobold."
The Baronet looks his usual haughty self, although his clothes are a little neater than the last time you saw him.	The Baronet looks his usual haughty self, although his clothes are a little neater than the last time you saw him.
Bear	Bear
Kobold 	Kobold 
"I am Baronet Barnard von Spielburg, heir to the lands and all within." 	"I am Baronet Barnard von Spielburg, heir to the lands and all within." 
"I would prefer not to talk about that."	"I would prefer not to talk about that."
"I will soon lead the troops against the Brigands and wipe them from this land."	"I will soon lead the troops against the Brigands and wipe them from this land."
"I rode off one morning with my men in search of monsters to fight.  I got separated from my men when I came across the entrance to the cave." 	"I rode off one morning with my men in search of monsters to fight.  I got separated from my men when I came across the entrance to the cave." 
"As I entered, the Kobold ordered ME to get out.  I informed it that I was Baronet Barnard von Spielburg and heir to the lands and all within."  	"As I entered, the Kobold ordered ME to get out.  I informed it that I was Baronet Barnard von Spielburg and heir to the lands and all within."  
"I ordered it to bow before me.  Then it cast a spell upon me and I remember very little after that." 	"I ordered it to bow before me.  Then it cast a spell upon me and I remember very little after that." 
A brazier stands ready for the evenings coals. 	A brazier stands ready for the evenings coals. 
The couch must be a precious heirloom; why else would the Baron keep such an uncomfortable-looking piece of furniture around?	The couch must be a precious heirloom; why else would the Baron keep such an uncomfortable-looking piece of furniture around?
The von Spielburg coat of arms:  Twin Saurus guarding, Winged Chevron, on a field Azure.	The von Spielburg coat of arms:  Twin Saurus guarding, Winged Chevron, on a field Azure.
The guards stand stiffly at attention.	The guards stand stiffly at attention.
The guards are not free to speak. 	The guards are not free to speak. 
A roast pig waits on the sideboard to be your supper.	A roast pig waits on the sideboard to be your supper.
The Baron collected these pillars on an ocean quest for an undersea kingdom. 	The Baron collected these pillars on an ocean quest for an undersea kingdom. 
You'd better stay in the main hall.  It wouldn't be wise to offend the Baron.	You'd better stay in the main hall.  It wouldn't be wise to offend the Baron.
Suddenly, you hear voices, seeming to come from everywhere at once.  They all sound like Baba Yaga, and they all say:	Suddenly, you hear voices, seeming to come from everywhere at once.  They all sound like Baba Yaga, and they all say:
"Wheeeeeere's myyyyyy Maaaandraaaaake Rooooooooooooot????" 	"Wheeeeeere's myyyyyy Maaaandraaaaake Rooooooooooooot????" 
The Great Hall of Spielburg Castle is not very impressive.  The room is plain, with scuffed floors and grimy plastered walls.	The Great Hall of Spielburg Castle is not very impressive.  The room is plain, with scuffed floors and grimy plastered walls.
You are less than awed by Baron von Spielburg's Great Hall.  You'd think a Baron could keep his home a little cleaner.  You try to hide your disappointment.	You are less than awed by Baron von Spielburg's Great Hall.  You'd think a Baron could keep his home a little cleaner.  You try to hide your disappointment.
You rehearse your award acceptance speech.	You rehearse your award acceptance speech.
You straighten your clothing.  The presence of all this nobility makes you slightly uncomfortable.	You straighten your clothing.  The presence of all this nobility makes you slightly uncomfortable.
The Baron grabbed these windows on crusades to Tangiers. 	The Baron grabbed these windows on crusades to Tangiers. 
The table is prepared for dinner.  Do you have timing or what? 	The table is prepared for dinner.  Do you have timing or what? 
The table is filled to overflowing. 	The table is filled to overflowing. 
The tapestry on the back wall seems to depict some great battle of the past. 	The tapestry on the back wall seems to depict some great battle of the past. 
The throne of the Baron is an unimpressive wooden highback chair. 	The throne of the Baron is an unimpressive wooden highback chair. 
A vase from the Ding Dynasty.  (So named because their stoneware makes a pleasant bell-like sound when tapped with a fingernail.) 	A vase from the Ding Dynasty.  (So named because their stoneware makes a pleasant bell-like sound when tapped with a fingernail.) 
A wine of the rarest vintage from Raseir stands ready for dinner. 	A wine of the rarest vintage from Raseir stands ready for dinner. 
"Then dance for us!"	"Then dance for us!"
"Humans can't dance."	"Humans can't dance."
"Let's see you dance."	"Let's see you dance."
"I bet you can't dance!"	"I bet you can't dance!"
"Dance for us!"	"Dance for us!"
"All he wants to do is dance."	"All he wants to do is dance."
"Let's see you!"	"Let's see you!"
"Dance!"	"Dance!"
"Dance!!"	"Dance!!"
"No peeking!"	"No peeking!"
"I think it's cheating!"	"I think it's cheating!"
"Oh, just give it some dust!"	"Oh, just give it some dust!"
"You needed a bath, anyway."	"You needed a bath, anyway."
"He's no fun!  He fell right over!"	"He's no fun!  He fell right over!"
"Ooh, looky.  A human!"	"Ooh, looky.  A human!"
"What's it doing here?"	"What's it doing here?"
"Yuck!"	"Yuck!"
"Let's have some fun with it."	"Let's have some fun with it."
"Humans!  Why is it always humans?"	"Humans!  Why is it always humans?"
"Go away.  You can't play!"	"Go away.  You can't play!"
"I think it wants to play with us."	"I think it wants to play with us."
"Human, do you know how to dance?"	"Human, do you know how to dance?"
"How do you dance?"	"How do you dance?"
"Dance?"	"Dance?"
"Dance??"	"Dance??"
"Will you dance for us?"	"Will you dance for us?"
"Can you dance?"	"Can you dance?"
"We can show it how, can't we?"	"We can show it how, can't we?"
"We know how to make you dance."	"We know how to make you dance."
"You can dance."	"You can dance."
"We love to teach you how to dance."	"We love to teach you how to dance."
"How to dance."	"How to dance."
"Dance?  Dance?"	"Dance?  Dance?"
"Dance?  Dance!"	"Dance?  Dance!"
"Dance!  Dance!"	"Dance!  Dance!"
"Dance!  Dance!  Dance!"	"Dance!  Dance!  Dance!"
"DanceDanceDanceDance!!"	"DanceDanceDanceDance!!"
"Ooooh!"	"Ooooh!"
"It does know how to dance."	"It does know how to dance."
"Wowie!"	"Wowie!"
"This is neat!"	"This is neat!"
"Gee, I didn't think it could do this."	"Gee, I didn't think it could do this."
"Well, I just love it!" 	"Well, I just love it!" 
"You love an Antwerp!"	"You love an Antwerp!"
"Do not!!"	"Do not!!"
"Do too!" 	"Do too!" 
"He came into our circle!"	"He came into our circle!"
"Who invited you here?"	"Who invited you here?"
"How rude!"	"How rude!"
"You can't come in here!"	"You can't come in here!"
"Now you're really going to get it!"	"Now you're really going to get it!"
"What an insult!"	"What an insult!"
"You'll just have to dance!"	"You'll just have to dance!"
"Have to dance!"	"Have to dance!"
"Dance!  Dance!!"	"Dance!  Dance!!"
"Dance!!  Dance!!  Dance!!"	"Dance!!  Dance!!  Dance!!"
"Hee, Hee!"	"Hee, Hee!"
"That's a dance?"	"That's a dance?"
"What can you expect from a human?"	"What can you expect from a human?"
"Well, I think it's cute."	"Well, I think it's cute."
"You think anything is cute!"	"You think anything is cute!"
"Ha, ha, ha!"	"Ha, ha, ha!"
"Oh, it's you again!"	"Oh, it's you again!"
"Can you dance better now?"	"Can you dance better now?"
"We love to watch you dance."	"We love to watch you dance."
"You'd better play nice!"	"You'd better play nice!"
"Did you meet the Dryad?"	"Did you meet the Dryad?"
"We'd love to see you dance."	"We'd love to see you dance."
"Will you dance for us??"	"Will you dance for us??"
"Will you dance?"	"Will you dance?"
"Dance?  Dance??"	"Dance?  Dance??"
"Dance???"	"Dance???"
"How rude!!"	"How rude!!"
"Why, I never!"	"Why, I never!"
"Nobody tries that with us!"	"Nobody tries that with us!"
"Now you're really going to get it!!"	"Now you're really going to get it!!"
"What an insult!!"	"What an insult!!"
"You'll just have to dance!!"	"You'll just have to dance!!"
"Have to dance!!"	"Have to dance!!"
"Dance for us!!"	"Dance for us!!"
"Dance now!"	"Dance now!"
"Dance!!!"	"Dance!!!"
"Nyaah, nyaah!  You missed me!"	"Nyaah, nyaah!  You missed me!"
"It wants to play!"	"It wants to play!"
"Can't get me!"	"Can't get me!"
"Naughty, naughty, naughty."	"Naughty, naughty, naughty."
"Attercop, Attercop!"	"Attercop, Attercop!"
"Missed me, missed me..."	"Missed me, missed me..."
"...now you've got to kiss me!"	"...now you've got to kiss me!"
"Oooh!  Scary magic!"	"Oooh!  Scary magic!"
"You'll never catch me.  Ha, ha!"	"You'll never catch me.  Ha, ha!"
"So what do you want?"	"So what do you want?"
"Why are you here?"	"Why are you here?"
"Do you suppose it's hungry?"	"Do you suppose it's hungry?"
"What do humans eat?"	"What do humans eat?"
"Fairies!"	"Fairies!"
"Fairies?"	"Fairies?"
"Everyone knows humans eat animals."	"Everyone knows humans eat animals."
"Yuckie!"	"Yuckie!"
"What are you bothering us for?"	"What are you bothering us for?"
"Why don't humans ever answer?"	"Why don't humans ever answer?"
"What is this all about?"	"What is this all about?"
"What do you want from us?"	"What do you want from us?"
"Wow!"	"Wow!"
"This is boring!"	"This is boring!"
"Is that all you care about?"	"Is that all you care about?"
"Shall we dance again?"	"Shall we dance again?"
"What about the human?"	"What about the human?"
"Maybe if we ignore it, it'll go away!"	"Maybe if we ignore it, it'll go away!"
"Let's dance!"	"Let's dance!"
"She protects the forest and everything."	"She protects the forest and everything."
"She even protects us!"	"She even protects us!"
"You'd better not make her mad!"	"You'd better not make her mad!"
"She'll zap you."	"She'll zap you."
"Her tree is nearby."	"Her tree is nearby."
"The Dryad is a tree nymph."	"The Dryad is a tree nymph."
"She's very magical."	"She's very magical."
"Fairy dust is very magical." 	"Fairy dust is very magical." 
"Is that why you're here?"	"Is that why you're here?"
"Why should we give it any dust?"	"Why should we give it any dust?"
"It danced for us, didn't it?"	"It danced for us, didn't it?"
"Well, I say we give it some dust."	"Well, I say we give it some dust."
"That's because you have a crush on it."	"That's because you have a crush on it."
"Do not!"	"Do not!"
"Dewdrop's in love with a human."	"Dewdrop's in love with a human."
"Am not!"	"Am not!"
"Are too!"	"Are too!"
"If you love it, YOU give it some dust."	"If you love it, YOU give it some dust."
"Ick!  Not me...you!"	"Ick!  Not me...you!"
"You!"	"You!"
"No, You!"	"No, You!"
"No way!  You!"	"No way!  You!"
"Not me!  You!"	"Not me!  You!"
"Make Mikey do it.  She'll touch anything!"	"Make Mikey do it.  She'll touch anything!"
"Mikey!"	"Mikey!"
"All right, all right, but you all owe me!"	"All right, all right, but you all owe me!"
"All right, human."	"All right, human."
"Hold out your hand and close your eyes."	"Hold out your hand and close your eyes."
"You will get a big surprise!"	"You will get a big surprise!"
"We are magic!"	"We are magic!"
"We make rainbows!"	"We make rainbows!"
"We dance to make the flowers grow."	"We dance to make the flowers grow."
"We sing to make the colors."	"We sing to make the colors."
"We're the prettiest things in the world!"	"We're the prettiest things in the world!"
"We just want to have fun!"	"We just want to have fun!"
"Fairies live in forests."	"Fairies live in forests."
"Fairies are GREAT!"	"Fairies are GREAT!"
"This is our home."	"This is our home."
"Woods are wonderful!"	"Woods are wonderful!"
"We love trees!"	"We love trees!"
"We love flowers!"	"We love flowers!"
"We make the trees grow!"   	"We make the trees grow!"   
"We rule the whole forest!" 	"We rule the whole forest!" 
"Don't tell the Dryad that!"  	"Don't tell the Dryad that!"  
"Our mushrooms are special!"	"Our mushrooms are special!"
"Yeah.  They're magical!"	"Yeah.  They're magical!"
"That's why we dance in rings of mushrooms."	"That's why we dance in rings of mushrooms."
"You better not come into our ring!"	"You better not come into our ring!"
"We never let humans into our ring."	"We never let humans into our ring."
"It takes forever to get the smell out!"	"It takes forever to get the smell out!"
"It spoils the magic when a human comes in."	"It spoils the magic when a human comes in."
"It makes us very, very angry!"	"It makes us very, very angry!"
"We love our mushrooms!"	"We love our mushrooms!"
You don't have a dagger.	You don't have a dagger.
The fairies can avoid your grasp easily.	The fairies can avoid your grasp easily.
"Don't you want to dance?" 	"Don't you want to dance?" 
Perhaps you should be better prepared to get some fairy dust next time. 	Perhaps you should be better prepared to get some fairy dust next time. 
"Don't be greedy.  We already gave you some." 	"Don't be greedy.  We already gave you some." 
Where could you possibly get that?	Where could you possibly get that?
Maybe you should ask the Fairies for some.  That would be the polite thing to do.	Maybe you should ask the Fairies for some.  That would be the polite thing to do.
The fairies look like little dancing lights, but you get a strong sense that they are female with butterfly wings. 	The fairies look like little dancing lights, but you get a strong sense that they are female with butterfly wings. 
Fairy	Fairy
Forest	Forest
"Don't you want to dance?"	"Don't you want to dance?"
The ring of mushrooms contains mushrooms slightly larger than the ones you are used to.	The ring of mushrooms contains mushrooms slightly larger than the ones you are used to.
The fairy ring is luminous at night. 	The fairy ring is luminous at night. 
You hold out your hand...what else could you do?	You hold out your hand...what else could you do?
You realize that you need something such as an empty flask to put this fairy dust into. 	You realize that you need something such as an empty flask to put this fairy dust into. 
As the fairy dust sifts through your fingers, you realize that you need something to put it in.  You're fresh out of empty containers.  	As the fairy dust sifts through your fingers, you realize that you need something to put it in.  You're fresh out of empty containers.  
Wow!  That was pretty wild!  It's probably not a good idea to eat too many more of these mushrooms, though.	Wow!  That was pretty wild!  It's probably not a good idea to eat too many more of these mushrooms, though.
I'm not sure.	I'm not sure.
Who are you talking to?	Who are you talking to?
They seem to be ignoring you.	They seem to be ignoring you.
There is much magic surrounding the fairies and their ring of mushrooms.	There is much magic surrounding the fairies and their ring of mushrooms.
It's either a stone, a pebble, a mass of stony material, a solid mineral deposit, a block, or a rock.  Take your pick.  (Just don't take a pick to the rock.)	It's either a stone, a pebble, a mass of stony material, a solid mineral deposit, a block, or a rock.  Take your pick.  (Just don't take a pick to the rock.)
The rock sits there in stony silence.	The rock sits there in stony silence.
The arrogance of the Baronet astonishes you.  Perchance the kobold Magic User had a reason for changing him into a bear. 	The arrogance of the Baronet astonishes you.  Perchance the kobold Magic User had a reason for changing him into a bear. 
"You have the honor of meeting the Baronet Barnard von Spielburg.  We are pleased that you broke our enchantment.  Perhaps our father the Baron will reward you should you ever visit our castle."   	"You have the honor of meeting the Baronet Barnard von Spielburg.  We are pleased that you broke our enchantment.  Perhaps our father the Baron will reward you should you ever visit our castle."   
You have a funny feeling that you may have made a slight tactical error.	You have a funny feeling that you may have made a slight tactical error.
The body lying there looks a lot like the picture of the Baronet von Spielburg on the poster at the guild hall.  You have a funny feeling that you may have made a slight tactical error.	The body lying there looks a lot like the picture of the Baronet von Spielburg on the poster at the guild hall.  You have a funny feeling that you may have made a slight tactical error.
The cavern contains some impressive formations and is rather beautiful, as caves go.	The cavern contains some impressive formations and is rather beautiful, as caves go.
Would you like to choose a different character type?	Would you like to choose a different character type?
You still have points to allocate.	You still have points to allocate.
Use More Points	Use More Points
Start the Game	Start the Game
To drop an item in the game, first click here, then click on the item.	To drop an item in the game, first click here, then click on the item.
This icon tells you about other icons.	This icon tells you about other icons.
magic acorn  	magic acorn  
You have %d %ss. Each weighs %d.%d pounds.	You have %d %ss. Each weighs %d.%d pounds.
You have %d %s. It weighs %d.%d pounds.	You have %d %s. It weighs %d.%d pounds.
You can't use your %s on your %s.	You can't use your %s on your %s.
You don't really want to drop your last weapon.	You don't really want to drop your last weapon.
You don't really want to drop your %s.	You don't really want to drop your %s.
It would not be a good idea to drop anything here.	It would not be a good idea to drop anything here.
You drop one of your %ss.	You drop one of your %ss.
You drop your %s.	You drop your %s.
You have %d gold piece%s and %d silver piece%s, weighing %d.%d pounds.	You have %d gold piece%s and %d silver piece%s, weighing %d.%d pounds.
You have %d silver piece%s, weighing %d.%d pounds.	You have %d silver piece%s, weighing %d.%d pounds.
You have %d gold piece%s, weighing %d.%d pounds.	You have %d gold piece%s, weighing %d.%d pounds.
A moth flies from your money pouch.  That is all.	A moth flies from your money pouch.  That is all.
No silver threads or golden needles...  your pouch is empty.	No silver threads or golden needles...  your pouch is empty.
Your money pouch is empty.	Your money pouch is empty.
You drop ten silvers.	You drop ten silvers.
You drop the rest of your silvers, all but one that you keep for luck.	You drop the rest of your silvers, all but one that you keep for luck.
You start to drop your gold, but think better of it.	You start to drop your gold, but think better of it.
You pick up ten silvers.	You pick up ten silvers.
You pick up the rest of your silvers.	You pick up the rest of your silvers.
There is nothing to pick up.	There is nothing to pick up.
You have dropped %d silver%s.	You have dropped %d silver%s.
You have dropped your %s.	You have dropped your %s.
You have dropped %d of your %ss.	You have dropped %d of your %ss.
You pick up one of your %ss.	You pick up one of your %ss.
You pick up your %s.	You pick up your %s.
candelabra	candelabra
pair of candlesticks	pair of candlesticks
cheetaur claw	cheetaur claw
dagger	dagger
dispel potion	dispel potion
flask of fairy dust	flask of fairy dust
empty flask	empty flask
flower	flower
water-filled flask	water-filled flask
small apple	small apple
undead unguent	undead unguent
money pouch	money pouch
piece of green fur	piece of green fur
healing potion	healing potion
brass key	brass key
leather jerkin	leather jerkin
lock pick	lock pick
glowing gem	glowing gem
chainmail shirt	chainmail shirt
mana potion	mana potion
mandrake root	mandrake root
hand mirror	hand mirror
mushroom	mushroom
music box	music box
page turner	page turner
paper piece	paper piece
string of pearls	string of pearls
food ration	food ration
gold ring	gold ring
small rock	small rock
spirea seed	spirea seed
shield	shield
vigor potion	vigor potion
broadsword	broadsword
thief's tool kit	thief's tool kit
thieves' guild license 	thieves' guild license 
troll beard piece	troll beard piece
fine porcelain vase 	fine porcelain vase 
vegetable	vegetable
To look more closely at an object, first click here, then click on the item.	To look more closely at an object, first click here, then click on the item.
Click here to close this window and return to the game.	Click here to close this window and return to the game.
Click here to see the rest of your stuff.	Click here to see the rest of your stuff.
To pick up an item that you have dropped recently, first click here, then click on the item.	To pick up an item that you have dropped recently, first click here, then click on the item.
To select an item to use in the game, first click here, then click on the item. 	To select an item to use in the game, first click here, then click on the item. 
You are now carrying %d pounds of equipment, supplies, and whatever else you've picked up along the way.	You are now carrying %d pounds of equipment, supplies, and whatever else you've picked up along the way.
You can carry up to %d pound%s of equipment without getting a severe backache. 	You can carry up to %d pound%s of equipment without getting a severe backache. 
Select this icon to find out how much weight you're carrying.	Select this icon to find out how much weight you're carrying.
As the sun begins to rise, the Troll runs off to some dark hole.	As the sun begins to rise, the Troll runs off to some dark hole.
You could not escape.  The battle is on.	You could not escape.  The battle is on.
A monster just wandered by.  You hid in the bushes until it passed.	A monster just wandered by.  You hid in the bushes until it passed.
Although that spell is not useful here, you at least had a chance to practice it.	Although that spell is not useful here, you at least had a chance to practice it.
You don't see anything closed around here. 	You don't see anything closed around here. 
You sense no magic here.	You sense no magic here.
Certainly you don't want to Fetch THAT!	Certainly you don't want to Fetch THAT!
Good practice, but there's nothing worth Fetching here.	Good practice, but there's nothing worth Fetching here.
You search your opponent.	You search your opponent.
The monster doesn't seem very calm.  Maybe it didn't like you hurting it.	The monster doesn't seem very calm.  Maybe it didn't like you hurting it.
You remove as much of the Troll's beard as you can and put it away in your pack.	You remove as much of the Troll's beard as you can and put it away in your pack.
Some of the Cheetaur's claws have been broken off or damaged, apparently in battle.  You remove the remaining claws and put them away in your pack.	Some of the Cheetaur's claws have been broken off or damaged, apparently in battle.  You remove the remaining claws and put them away in your pack.
Unfortunately, the Mantray appears not to have been affected by your spell.	Unfortunately, the Mantray appears not to have been affected by your spell.
You find %d silver coins, and carefully place them in your pouch.	You find %d silver coins, and carefully place them in your pouch.
You find a single silver coin, carefully polish it, and place it in your pouch.  What a way to make a living!	You find a single silver coin, carefully polish it, and place it in your pouch.  What a way to make a living!
What a waste!  No treasure!	What a waste!  No treasure!
Some of the Cheetaur's claws have been broken off or damaged, apparently in battle.  You remove the remaining claws and put them away in your pack. 	Some of the Cheetaur's claws have been broken off or damaged, apparently in battle.  You remove the remaining claws and put them away in your pack. 
You thought that the Troll might have concealed some of its treasure in that thick beard, but you didn't find any there. 	You thought that the Troll might have concealed some of its treasure in that thick beard, but you didn't find any there. 
Uh oh, this looks like one of the brigands that have been terrorizing the Valley.  Better hope his friends aren't around.	Uh oh, this looks like one of the brigands that have been terrorizing the Valley.  Better hope his friends aren't around.
It's a Cheetaur, a Cheetah Centaur, one of the deadliest creatures in the land.  Hope you've saved your game recently.	It's a Cheetaur, a Cheetah Centaur, one of the deadliest creatures in the land.  Hope you've saved your game recently.
Oh, no!  It's a fierce (and hungry) looking Saurus Rex (smarter than your average Saurus).	Oh, no!  It's a fierce (and hungry) looking Saurus Rex (smarter than your average Saurus).
It's an ugly little Goblin.	It's an ugly little Goblin.
It's dead, of course.	It's dead, of course.
It doesn't smell very good, either.	It doesn't smell very good, either.
It's a Mantray, a former sea creature that took flight many generations ago and moved to the mountains.  Don't get stung!	It's a Mantray, a former sea creature that took flight many generations ago and moved to the mountains.  Don't get stung!
It's an Ogre, big, mean, and ugly. Ogres are said to eat human flesh.	It's an Ogre, big, mean, and ugly. Ogres are said to eat human flesh.
It's a Program Bug!	It's a Program Bug!
Don't worry, it's just a little purple Saurus.  Watch out for those teeth though.	Don't worry, it's just a little purple Saurus.  Watch out for those teeth though.
It's a Troll, hard as stone.	It's a Troll, hard as stone.
You can't help but smell it.	You can't help but smell it.
You don't know that spell. 	You don't know that spell. 
You cannot escape this encounter.	You cannot escape this encounter.
You cannot make the arcane gestures to cast spells while carrying your shield.	You cannot make the arcane gestures to cast spells while carrying your shield.
"Take care!"	"Take care!"
"Say 'Hi' to the Dryad for us!" 	"Say 'Hi' to the Dryad for us!" 
"Bye bye!  See ya!" 	"Bye bye!  See ya!" 
"Kiss a tree for me!" 	"Kiss a tree for me!" 
The gate is securely barred.  It's apparently an Otto-matic gate, since it would take a Goon to open it.   	The gate is securely barred.  It's apparently an Otto-matic gate, since it would take a Goon to open it.   
You'd better not try to climb the wall any more right now.  You've been at this long enough that someone is likely to notice.	You'd better not try to climb the wall any more right now.  You've been at this long enough that someone is likely to notice.
The wall is too smooth to climb with your level of skill, but keep practicing.	The wall is too smooth to climb with your level of skill, but keep practicing.
The gate is securely barred.  There's no lock for you to open.	The gate is securely barred.  There's no lock for you to open.
The shades are drawn, and it appears that the Inn is closed.	The shades are drawn, and it appears that the Inn is closed.
The windows glow from the light inside. The sign reads "Hero's Tale Inn".	The windows glow from the light inside. The sign reads "Hero's Tale Inn".
The door is bolted.	The door is bolted.
You wooden stab that poor defenseless door, wood you?  	You wooden stab that poor defenseless door, wood you?  
Good try, but that isn't an inn key.  (It must be off-key.)	Good try, but that isn't an inn key.  (It must be off-key.)
You see the cheery, inviting glow of a hearth fire within the inn.	You see the cheery, inviting glow of a hearth fire within the inn.
It's an empty jail cell.  Fortunately, you're on the outside (at the moment).	It's an empty jail cell.  Fortunately, you're on the outside (at the moment).
That's the jail cell door.  If you really want to go in, try stealing from someone and getting caught.  (This may not be the best way to become a Hero, though.) 	That's the jail cell door.  If you really want to go in, try stealing from someone and getting caught.  (This may not be the best way to become a Hero, though.) 
This must be some tough town when they put bars on the jailhouse window. 	This must be some tough town when they put bars on the jailhouse window. 
The only way you can break this jailhouse window is with a jailhouse rock. 	The only way you can break this jailhouse window is with a jailhouse rock. 
The sign says "Out to lunch."  The barber must keep odd lunch  hours. 	The sign says "Out to lunch."  The barber must keep odd lunch  hours. 
There's a sign on the door of the barber shop.  It says "Out to lunch." 	There's a sign on the door of the barber shop.  It says "Out to lunch." 
The door is locked.	The door is locked.
The sign reads "Hero's Tale Inn"  	The sign reads "Hero's Tale Inn"  
The Sheriff's office doubles as a jail for the town and a hangout for the Sheriff and the Goon.	The Sheriff's office doubles as a jail for the town and a hangout for the Sheriff and the Goon.
The Sign of the Scissors above the door indicates that the building contains a Barber Shop.	The Sign of the Scissors above the door indicates that the building contains a Barber Shop.
The town gate is standing wide open, as it does every day.  It is made of sturdy logs.	The town gate is standing wide open, as it does every day.  It is made of sturdy logs.
That's the Sheriff's job.	That's the Sheriff's job.
There's more than a hint of Ogre about this strange and bulky character. He seems cheerful, though.	There's more than a hint of Ogre about this strange and bulky character. He seems cheerful, though.
"Otto only expresses himself physically."	"Otto only expresses himself physically."
Spielburg remains colorful, even at night.	Spielburg remains colorful, even at night.
This seems like a quiet little town.  On the porch ahead of you are two people.  The standing one is large, rather ugly, and playing with a yo-yo. The seated person smoking a pipe looks like he might be the Sheriff.	This seems like a quiet little town.  On the porch ahead of you are two people.  The standing one is large, rather ugly, and playing with a yo-yo. The seated person smoking a pipe looks like he might be the Sheriff.
"Just a friendly suggestion, but whatever you do, don't drink the Dragon's Breath.  Not even Otto can drink Dragon's Breath!"	"Just a friendly suggestion, but whatever you do, don't drink the Dragon's Breath.  Not even Otto can drink Dragon's Breath!"
The man with the pipe greets you.	The man with the pipe greets you.
"Welcome to our town.  You are lucky to have made it down from the mountains before the snow blocked the pass again.  It's gotten pretty dangerous outside of town, I understand."	"Welcome to our town.  You are lucky to have made it down from the mountains before the snow blocked the pass again.  It's gotten pretty dangerous outside of town, I understand."
"Many monsters have been trapped around here with the late snow.  Between them and the brigands, we certainly could use a Hero around here."	"Many monsters have been trapped around here with the late snow.  Between them and the brigands, we certainly could use a Hero around here."
"I am Sheriff Schultz Meistersson.  This is Otto Von Goon, my assistant." 	"I am Sheriff Schultz Meistersson.  This is Otto Von Goon, my assistant." 
"Good luck in your quest." 	"Good luck in your quest." 
However, this was not a good place to sleep.  You're stiff and sore all over, and your wallet feels very light.	However, this was not a good place to sleep.  You're stiff and sore all over, and your wallet feels very light.
As safe as our streets are, you still should not sleep on them.  It is a good way to get robbed.	As safe as our streets are, you still should not sleep on them.  It is a good way to get robbed.
This is the door to the Sheriff's office. 	This is the door to the Sheriff's office. 
You'd better not. The Goon would probably clobber you with his yo-yo if he thought you were going into the Sheriff's office without permission. 	You'd better not. The Goon would probably clobber you with his yo-yo if he thought you were going into the Sheriff's office without permission. 
The door appears to be locked, and breaking into the Sheriff's office might evoke the wrath of Otto von Goon. 	The door appears to be locked, and breaking into the Sheriff's office might evoke the wrath of Otto von Goon. 
